Patient_117,Patient_117
Otu0364,Pseudomonas
Otu0365,Thermus
Otu0366,Lactobacillales_unclassified
Otu0367,Veillonella
Otu0368,Staphylococcus
Otu0369,Parabacteroides
Otu0370,Veillonella
Otu0371,Lactobacillales_unclassified
Otu0372,Rothia
Otu0373,Pseudomonadaceae_unclassified
Otu0374,Veillonella
Otu0375,Gallibacterium
Otu0376,Streptococcus
Otu0377,Pasteurellaceae_unclassified
Otu0378,Streptococcus
Otu0379,Scardovia
Otu0380,Ruminococcaceae_unclassified
Otu0381,Veillonella
Otu0382,Veillonella
Otu0383,Streptococcus
Otu0384,Veillonella
Otu0385,Actinomyces
Otu0386,Prevotella
Otu0387,Parvimonas
Otu0388,Bacilli_unclassified
Otu0389,Pseudomonadaceae_unclassified
Otu0390,Actinomyces
Otu0391,Enterobacteriaceae_unclassified
Otu0392,Megasphaera
Otu0393,Prevotella
Otu0394,Rothia
Otu0395,Lactobacillales_unclassified
Otu0396,Actinomyces
Otu0397,Streptococcus
Otu0398,Empedobacter
Otu0399,Prevotella
Otu0400,Leptotrichia
Otu0401,Leuconostoc
Otu0402,Anaerostipes
Otu0403,Clostridiales_unclassified
Otu0404,Streptococcus
Otu0405,Neisseriaceae_unclassified
Otu0406,Streptococcus
Otu0407,Prevotella
Otu0408,Prevotella
Otu0409,Aquabacterium
Otu0410,Prevotella
Otu0411,Streptococcus
Otu0412,Veillonella
Otu0413,Streptococcus
Otu0414,Alistipes
Otu0415,Prevotella
Otu0416,Parabacteroides
Otu0417,Clostridiales_unclassified
Otu0418,Lactobacillales_unclassified
Otu0419,Phascolarctobacterium
Otu0420,Porphyromonadaceae_unclassified
Otu0421,Veillonella
Otu0422,Prevotella
Otu0423,Acidaminococcus
Otu0424,Prevotella
Otu0425,Streptococcus
Otu0426,Rothia
Otu0427,Fusobacterium
Otu0428,Candidatus_Saccharibacteria_unclassified
Otu0429,Bacillales_unclassified
Otu0430,Cloacibacterium
Otu0431,Actinomyces
Otu0432,Veillonella
Otu0433,Ruminococcaceae_unclassified
Otu0434,Lactobacillales_unclassified
Otu0435,Prevotella
Otu0436,Prevotella
Otu0437,Veillonella
Otu0438,Nocardia
Otu0439,Prevotella
Otu0440,Staphylococcus
Otu0441,Flavobacteriaceae_unclassified
Otu0442,Bacillales_unclassified
Otu0443,Prevotella
Otu0444,Actinomyces
Otu0445,Ruminococcus2
Otu0446,Actinomycetales_unclassified
Otu0447,Streptococcus
Otu0448,Prevotella
Otu0449,Listeria
Otu0450,Fusobacterium
Otu0451,Pseudomonadaceae_unclassified
Otu0452,Prevotella
Otu0453,Bacillales_unclassified
Otu0454,Streptococcus
Otu0455,Carnobacteriaceae_unclassified
Otu0456,Rothia
Otu0457,Porphyromonadaceae_unclassified
Otu0458,Actinomyces
Otu0459,Bacteroides
Otu0460,Bacteroides
Otu0461,Dorea
Otu0462,Leptotrichia
Otu0463,Bacilli_unclassified
Otu0464,Leptotrichia
Otu0465,Prevotella
Otu0466,Bacteria_unclassified
Otu0467,Stenotrophomonas
Otu0468,Staphylococcus
Otu0469,Bacteria_unclassified
Otu0470,Rothia
Otu0471,Prevotella
Otu0472,Firmicutes_unclassified
Otu0473,Bacillus
Otu0474,Rothia
Otu0475,Capnocytophaga
Otu0476,Bacillales_unclassified
Otu0477,Bacteroides
Otu0478,Bacillales_unclassified
Otu0479,Lactobacillales_unclassified
Otu0480,Porphyromonadaceae_unclassified
Otu0481,Prevotella
Otu0482,Coriobacteriaceae_unclassified
Otu0483,Gemella
Otu0484,Porphyromonadaceae_unclassified
Otu0485,Exiguobacterium
Otu0486,Veillonella
Otu0487,Veillonella
Otu0488,Actinomycetaceae_unclassified
Otu0489,Gemella
Otu0490,Actinomycetales_unclassified
Otu0491,Actinomyces
Otu0492,Oscillibacter
Otu0493,Actinomyces
Otu0494,Blautia
Otu0495,Mycoplasma
Otu0496,Sutterella
Otu0497,Acinetobacter
Otu0498,Bacilli_unclassified
Otu0499,Veillonellaceae_unclassified
Otu0500,Lactobacillales_unclassified
Otu0501,Streptococcus
Otu0502,Streptococcus
